id_str,posted_by,type,score,ratio
1788177028560085452,CBSNews,neutral,0.0339095,0.360817
1788169476510269468,CBSNews,negative,-0.181823,-0.678313
1788165700663619956,CBSNews,negative,-0.244914,-0.732372
1788159070748164332,CBSNews,neutral,0.0219594,-0.129588
1788154377280094212,CBSNews,neutral,-0.00720036,-0.0575461
1788146829600637383,CBSNews,positive,0.094239,0.32758
1788131729141625106,CBSNews,negative,-0.177479,-0.627026
1788116630322446675,CBSNews,negative,-0.079408,-0.627348
1788101530056343825,CBSNews,positive,0.107125,0.32518
1788086428179554799,CBSNews,positive,0.0890028,0.756724
1788071331470119316,CBSNews,negative,-0.192215,-0.64653
1788056229555630581,CBSNews,neutral,0.0114373,0.0750975
1788041131017556356,CBSNews,negative,-0.0754807,-0.319518
1788035872807371166,CBSNews,neutral,0.0450717,0.140288
1788033582784532834,CBSNews,negative,-0.198749,-0.443905
1788031604692041966,CBSNews,positive,0.257084,0.857218
1788026031317700826,CBSNews,positive,0.117585,0.766767
1788020999612494318,CBSNews,positive,0.160417,1
1788015963830383094,CBSNews,neutral,0.0197155,0.111373
1788010931999392063,CBSNews,positive,0.0960794,0.289304
1788005900617232474,CBSNews,neutral,0.0316623,0.201389
1788000864906379666,CBSNews,negative,-0.229468,-0.56295
1787995832555303277,CBSNews,positive,0.120324,0.442443
1787995473766461911,CBSNews,negative,-0.148997,-0.483334
1787990801022161200,CBSNews,positive,0.18838,0.472144
1787985765248438433,CBSNews,negative,-0.079408,-0.627348
1787981584257216525,CBSNews,positive,0.317985,0.917446
1787981402438267309,CBSNews,neutral,0.0473529,0.166417
1787980734017229127,CBSNews,negative,-0.138159,-0.65725
1787980441430942168,CBSNews,positive,0.210701,0.728377
1787980426721562701,CBSNews,positive,0.106478,0.597908
1787980417905078374,CBSNews,negative,-0.174979,-0.562868
1787979899354878286,CBSNews,neutral,0.038272,0.0846234
1787979430452695122,CBSNews,negative,-0.210737,-0.78138
1787979420851949698,CBSNews,negative,-0.641534,-1
1787979410563371296,CBSNews,negative,-0.228701,-0.572167
1787976638556238332,CBSNews,positive,0.199548,1
1787975702450442490,CBSNews,negative,-0.168703,-0.426734
1787970666844594463,CBSNews,positive,0.241534,0.846896
1787969122866770203,CBSNews,negative,-0.0560569,0.0985118
1787968653436015017,CBSNews,positive,0.112761,0.107965
1787968449190236278,CBSNews,negative,-0.0849807,-0.572577
1787966030901375294,CBSNews,positive,0.0612128,0.420618
1787965961959526622,CBSNews,positive,0.0612128,0.420618
1787964374713356319,CBSNews,neutral,0.0296869,0.165337
