id_str,posted_by,created_at,full_text
1742935009802301522,CNN,Thu Jan 04 15:44:23 +0000 2024,China spent over $5.5 million at Trump properties, the largest total of known payments made by a foreign country while he was in office, records show. https://t.co/N1LQoLXXY2
1742955434837713154,CNN,Thu Jan 04 17:05:32 +0000 2024,ISIS claims responsibility for bombings in Iran that killed at least 84 people, the deadliest attack in the country since the 1979 revolution https://t.co/gBihV523ty
1743022721267630356,CNN,Thu Jan 04 21:32:55 +0000 2024,A sixth-grader was killed and five people were wounded in a shooting at Perry High School in Iowa, authorities said. The 17-year-old shooter died of a self-inflicted wound. Follow live updates. https://t.co/f7JPGv4W5a
1743044621742047317,CNN,Thu Jan 04 22:59:56 +0000 2024,Groups of voters from Illinois and Massachusetts have filed motions to remove Trump from the 2024 ballot, adding to the list of states where the former president faces a challenge to his candidacy under the 14th Amendment’s so-called insurrectionist ban. https://t.co/CflA5lbSaA
1743089878676447437,CNN,Fri Jan 05 01:59:46 +0000 2024,Ron DeSantis and Nikki Haley are answering questions from Iowa voters in back-to-back CNN town halls as the state\s pivotal GOP caucuses loom. \n\nFollow updates and watch now. https://t.co/2woqVpBqgm
1743142395573661765,CNN,Fri Jan 05 05:28:27 +0000 2024,In back-to-back CNN town halls, Republican presidential primary contenders Ron DeSantis and Nikki Haley attempted to convince voters that Trump isn’t a lock to win — and prove their own electability.\n\nHere are the takeaways. https://t.co/r8aLwOp3qE
1743188194324099310,CNN,Fri Jan 05 08:30:27 +0000 2024,Oscar Pistorius, South African sprinter convicted of murdering his girlfriend, Reeva Steenkamp, released on parole, correctional services say https://t.co/XSpsT3ds8O
1743272684522217894,CNN,Fri Jan 05 14:06:11 +0000 2024,The US economy added 216,000 jobs in December. The strong labor market has fueled economic growth even as rate hikes cooled inflation. https://t.co/BJqdCn8EVq
1743300827832340579,CNN,Fri Jan 05 15:58:00 +0000 2024,David Soul, best known for his role in the popular 1970s television series “Starsky &amp; Hutch” has died, his wife announced. He was 80. https://t.co/FqvGS9xuMp
1743339031411171509,CNN,Fri Jan 05 18:29:49 +0000 2024,The New York attorney general is seeking more than $370 million from Donald Trump and his co-defendants and to bar the former president from doing business in the state, according to a post-trial brief filed Friday in Trump’s civil fraud trial https://t.co/ItNJLo6WNn https://t.co/U4kjLbobH2
1743347128003350656,CNN,Fri Jan 05 19:01:59 +0000 2024,The third round of documents from a lawsuit connected to Jeffrey Epstein has been publicly released. CNN is reviewing the documents. https://t.co/unBgf01Rte
1743357235890106859,CNN,Fri Jan 05 19:42:09 +0000 2024,The NRA\s CEO Wayne LaPierre announces resignation, the organization says https://t.co/azgXjjzwWw
1743395660521451681,CNN,Fri Jan 05 22:14:50 +0000 2024,Supreme Court agrees to hear whether Trump can run for president after Jan. 6 insurrection https://t.co/bGHNYCPfD3
1743400964285984832,CNN,Fri Jan 05 22:35:55 +0000 2024,The Supreme Court said it will decide whether emergency room doctors can perform medically necessary abortions in states that prohibit them https://t.co/nbI3sqNmOU
1743411314058318256,CNN,Fri Jan 05 23:17:02 +0000 2024,Former Colorado police officer Randy Roedema has been sentenced to 14 months in jail and 4 years of probation for his role in the 2019 death of Elijah McClain https://t.co/vbfPVp1w2X
1743436147336925297,CNN,Sat Jan 06 00:55:43 +0000 2024,Moments before a 17-year-old unleashed gunfire at Iowa’s Perry High School, killing a sixth grader and wounding seven other people, the student is believed to have posted a foreboding TikTok video. https://t.co/YiQy4U383N
1743436274113884656,CNN,Sat Jan 06 00:56:13 +0000 2024,The third batch of documents from a lawsuit connected to Jeffrey Epstein reveals a call from Harvey Weinstein, more famous men and unsettling details https://t.co/5kZMjXiV8I
1743452556007821768,CNN,Sat Jan 06 02:00:55 +0000 2024,President Biden makes an impassioned argument that Trump could destroy US democracy as he opens his 2024 campaign https://t.co/SMlnBa6m8y https://t.co/wJqA8GvElL
1743703266456637681,CNN,Sat Jan 06 18:37:09 +0000 2024,JUST IN: The FAA temporarily grounds Boeing 737 MAX 9 planes after a fuselage plug appeared to blow off one during an Alaska Airlines flight https://t.co/4rFSVyad0O
1743783214303383784,CNN,Sat Jan 06 23:54:50 +0000 2024,President Joe Biden was not aware for days that Secretary of Defense Lloyd Austin was hospitalized, a source familiar with the matter told CNN. https://t.co/rPhhnVYi0U
1744050266272395727,CNN,Sun Jan 07 17:36:01 +0000 2024,Kathleen Hicks, the Pentagon\s second-in-command, was not told Defense Secretary Lloyd Austin had been hospitalized when she assumed his duties https://t.co/VN0vmr8Ber
1744089274427871386,CNN,Sun Jan 07 20:11:01 +0000 2024,House and Senate leaders to announce an agreement on overall funding levels, the first step to averting a shutdown later this month https://t.co/WsP3HZiLt3
1744159288828776613,CNN,Mon Jan 08 00:49:14 +0000 2024,Will tonight be \Barbenheimer\s\ moment? The 81st Golden Globes unofficially kicks off the 2024 awards season.\n\nFollow live updates. https://t.co/QTMGGYKMVB
